item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
mutationRate.s:big                       1.017577 0.015466 0.852511 0.743824 0.131063 2.708044 11852.19 3038.256 0.782772
mutationRate.s:bird                      2.645061 0.032201 1.69296  2.125562 0.589434 6.271112 13028.02 2764.042 2.220295
mutationRate.s:bite                      1.571516 0.020512 1.060152 1.255149 0.25827  3.713947 13480.23 2671.317 1.277796
mutationRate.s:black                     3.332087 0.034176 1.802334 2.961698 0.664965 6.806188 12947.87 2781.151 2.890778
mutationRate.s:blood                     0.12783  0.003366 0.171248 0.067295 0.000436 0.463713 13911.73 2588.462 0.063933
mutationRate.s:blow                      0.838838 0.01196  0.671778 0.610301 0.068094 2.203775 11414.59 3154.734 0.616752
mutationRate.s:bone                      0.592346 0.007922 0.432674 0.500726 0.025748 1.416307 12070.63 2983.272 0.440301
mutationRate.s:breathe                   3.002078 0.034379 1.693034 2.771736 0.486218 6.225118 14848.14 2425.218 2.52673 
mutationRate.s:burn_tr                   2.752821 0.03308  1.636992 2.551535 0.29649  5.719224 14704.76 2448.865 2.254248
mutationRate.s:child                     0.708565 0.01159  0.598087 0.508537 0.050182 1.908544 13521.84 2663.099 0.502008
mutationRate.s:cloud                     1.201436 0.016338 0.920737 0.852416 0.165497 3.071744 11338.86 3175.802 0.911756
mutationRate.s:cold                      1.185497 0.013608 0.660934 1.098701 0.13497  2.42148  15264.99 2358.992 0.990998
mutationRate.s:come                      0.461198 0.006881 0.377564 0.351531 0.026004 1.220342 11960.86 3010.651 0.32736 
mutationRate.s:count                     3.233119 0.044823 2.373879 2.576033 0.354483 7.757765 12838.38 2804.869 2.485867
mutationRate.s:cut                       1.460983 0.02151  1.188574 0.974297 0.183913 3.864062 11793.26 3053.437 1.119294
mutationRate.s:day                       2.579469 0.029973 1.55239  2.158806 0.612274 5.595325 13424.32 2682.443 2.223085
mutationRate.s:die                       2.893961 0.036397 1.848953 2.490081 0.358572 6.385766 13954.12 2580.599 2.358896
mutationRate.s:dig                       7.711069 0.103293 5.231564 6.836624 1.430911 15.02479 14037.95 2565.189 6.723843
mutationRate.s:dirty                     3.53121  0.043352 2.19376  2.897729 0.682654 8.127629 14062.37 2560.734 2.954939
mutationRate.s:dog                       3.480172 0.037984 1.86283  3.049737 0.819529 6.937735 14972.12 2405.136 3.063135
mutationRate.s:drink                     1.373923 0.020418 1.080723 0.996583 0.196888 3.707398 12853.49 2801.572 1.07832 
mutationRate.s:dry                       3.99669  0.042676 2.253139 3.563672 0.776579 8.272617 12918.53 2787.467 3.398   
mutationRate.s:dull                      0.944776 0.015861 0.854832 0.616756 0.08843  2.697918 12397.65 2904.582 0.673565
mutationRate.s:dust                      2.55201  0.026378 1.201473 2.360217 0.5985   4.921784 17356.87 2074.682 2.280216
mutationRate.s:ear                       0.88648  0.01407  0.640428 0.770322 0.046707 2.104151 17380.29 2071.886 0.653752
mutationRate.s:earth                     0.646825 0.007901 0.428626 0.554284 0.04015  1.458442 12235.63 2943.043 0.51154 
mutationRate.s:eat                       0.124782 0.003364 0.164699 0.06721  0.000229 0.445439 15019.07 2397.618 0.062206
mutationRate.s:egg                       0.670478 0.010033 0.541512 0.505486 0.041593 1.752343 12360.68 2913.269 0.482693
mutationRate.s:eye                       0.443036 0.00743  0.363043 0.351013 0.012236 1.138584 15083.58 2387.362 0.309414
mutationRate.s:fall                      1.175885 0.015327 0.725884 1.039231 0.090522 2.547144 16055.26 2242.877 0.952681
mutationRate.s:far                       2.35553  0.02948  1.530046 1.986279 0.317609 5.381726 13368.21 2693.702 1.917538
mutationRate.s:fat                       0.51893  0.007892 0.432516 0.405604 0.020707 1.337194 11988.50 3003.711 0.363194
mutationRate.s:father                    1.068112 0.021164 0.907927 0.700482 0.109148 3.005921 19565.98 1840.438 0.783889
mutationRate.s:fear                      1.519367 0.013179 0.655823 1.402204 0.454202 2.842367 14540.77 2476.484 1.389348
mutationRate.s:feather                   2.740827 0.024115 1.019251 2.652052 0.942694 4.874489 20156.96 1786.479 2.54464 
